index,city,country,date,polarity_score
537,Arlington,us,06-07-2020,0.044113014
538,Tulsa,us,06-07-2020,0.089265217
539,Bakersfield,us,06-07-2020,0.0357
540,Mumbai,india,04-07-2020,0.1593318
541,Delhi,india,04-07-2020,0.122717022
542,Bangalore,india,04-07-2020,0.151309678
543,Hyderabad,india,04-07-2020,0.0381612
544,Ahmedabad,india,04-07-2020,0.021816377
545,Chennai,india,04-07-2020,-0.08186035
546,Kolkata,india,04-07-2020,0.071285764
547,Surat,india,04-07-2020,0.0
548,Pune,india,04-07-2020,0.227062812
549,Jaipur,india,04-07-2020,0.337365787
550,Visakhapatnam,india,04-07-2020,0.368667678
551,Nagpur,india,04-07-2020,0.178157383
552,Lucknow,india,04-07-2020,0.217362967
553,Kanpur,india,04-07-2020,-0.135916071
554,Thane,india,04-07-2020,0.159276272
555,Bhopal,india,04-07-2020,0.083073713
556,Indore,india,04-07-2020,0.251173115
557,Pimpri-Chinchwad,india,04-07-2020,0.227740416
558,Patna,india,04-07-2020,-0.06795197
559,Vadodara,india,04-07-2020,0.151876455
560,Toronto,canada,04-07-2020,0.139172589
561,Montreal,canada,04-07-2020,-0.04984869
562,Calgary,canada,04-07-2020,0.170584194
563,Ottawa,canada,04-07-2020,0.110569346
564,Edmonton,canada,04-07-2020,0.131645389
565,Mississauga,canada,04-07-2020,0.142992372
566,North York,canada,04-07-2020,0.143373561
567,Winnipeg,canada,04-07-2020,0.191825934
568,Scarborough,canada,04-07-2020,0.530777778
569,Vancouver,canada,04-07-2020,0.054590742
570,Quebec,canada,04-07-2020,0.0
571,Hamilton,canada,04-07-2020,0.108765176
572,Brampton,canada,04-07-2020,0.116056104
573,Surrey,canada,04-07-2020,0.084912028
574,Laval,canada,04-07-2020,0.0
575,Halifax,canada,04-07-2020,0.123442209
576,Etobicoke,canada,04-07-2020,0.143927556
577,London,canada,04-07-2020,0.160514347
578,Okanagan,canada,04-07-2020,0.247273836
579,Victoria,canada,04-07-2020,0.0
580,New York,us,04-07-2020,0.063827967
581,Los Angeles,us,04-07-2020,0.120857959
582,Chicago,us,04-07-2020,0.008376683
583,Houston,us,04-07-2020,0.037990494
584,Phoenix,us,04-07-2020,0.009237527
585,Philadelphia,us,04-07-2020,0.026844289
586,San Antonio,us,04-07-2020,0.005989384
587,San Diego,us,04-07-2020,0.146870595
588,Dallas,us,04-07-2020,0.020316454
589,San Jose,us,04-07-2020,0.048503112
590,Austin,us,04-07-2020,-0.005280363
591,Fort Worth,us,04-07-2020,0.081968236
592,Jacksonville,us,04-07-2020,0.175136442
593,Columbus,us,04-07-2020,0.009075152
594,Charlotte,us,04-07-2020,0.046785942
595,San Francisco,us,04-07-2020,0.020067406
596,Indianapolis,us,04-07-2020,0.200878391
597,Seattle,us,04-07-2020,0.006645036
598,Denver,us,04-07-2020,0.113152342
599,Washington,us,04-07-2020,0.023097122
600,Boston,us,04-07-2020,-0.137342361
601,El Paso,us,04-07-2020,-0.112918316
602,Nashville,us,04-07-2020,-0.003972489
603,Detroit,us,04-07-2020,0.022381671
604,Portland,us,04-07-2020,0.085332957
605,Las Vegas,us,04-07-2020,-0.10259867
606,Oklahoma City,us,04-07-2020,-0.035207531
